brand,category,dimension10,dimension11,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545871228,1427688,"Portátil - HP Notebook 15-da0031ns, RAM 8 GB, SSD 256 GB, Intel® Core™ i3-7, Blanco",499.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017061360,1436897,"Portátil Gaming - Asus R570ZD-DM107, 15"", FHD, Ryzen™ 5 2500U, GTX1050, 8GB, 1TB, Endless OS, Negro",699.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158151533,1401693,"Portátil - Lenovo Ideapad 320-15AST, 15.6"" HD, AMD A9-9420, 4 GB RAM, 128 GB SSD, AMD Radeon 530,",399.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628134908,1418793,HP 15-BW000NS 15/E2-9000E/4GB/500GB/W10,331.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900569186,1357022,"Portátil - Asus K541UV-GQ644T, 15.6"", Intel Core i5-7200U, 8 GB RAM, 1 TB, GT920MX 2 GB, W10",679.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900975666,1436902,"Portátil - Asus K540UB-GQ065T, 15"", HD, Intel® Core™ i3-6006U, MX110, 8GB, 1TB, Negro",542.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900775952,1380717,"Portátil - Asus K541UV-XO881T, 15.6"", HD, Intel® Core I3-6006U, 8GB RAM, 1TB HDD, Negro chocolate",499.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192018494817,1394551,"Portátil - HP Notebook 15-BS508NS, 15.6"", i7-7500U, RAM 8GB, 256GB SSD, Intel® HD Graphics 620,",692.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883826075,1435839,"Portátil - Acer A315-53-36BA-15,I3-7020U,8,128,W10",449.0
APPLE,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0190198711717,1426941,"Apple MacBook Pro MR932Y/A, Retina 15.4"", I7-8750H, Touch Bar, 16 GB RAM, 256 GB SSD, Radeon Pro",2513.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883724944,1431116,"Portátil - Acer Aspire 5, A515-51G-552F, 15.6"", I5-8250U, 8GB, 256GB, MX130, W10, Gris",699.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883807142,1426488,"Portátil- Acer Aspire 3, A315-51-30PS, 15.6"", I3-7020U, 4GB, 128GB, SSD, W10, Negro",399.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017057264,1436890,"Portátil - Asus S510UF-BR452T, 15.6"", i7-8550U, NVIDIA GeForce MX130, 8GB, 256GB, Oro",949.0
